Date,Open,High,Low,Close,Volume,Adj Close
2002-10-31,1463.61,1465.99,1437.64,1463.37,67895400,1463.37
2002-10-30,1444.78,1462.55,1444.78,1458.96,71974200,1458.96
2002-10-29,1459.66,1470.23,1449.87,1449.93,86469600,1449.93
2002-10-28,1477.28,1485.92,1474.86,1477.99,113553800,1477.99
2002-10-25,1455.83,1474.77,1453.23,1472.13,138360200,1472.13
2002-10-24,1463.04,1466.95,1448.84,1456.90,75219600,1456.90
2002-10-23,1449.92,1471.14,1444.27,1463.33,121718400,1463.33
2002-10-22,1461.35,1473.94,1446.91,1456.70,153461600,1456.70
2002-10-21,1460.09,1471.36,1449.82,1457.71,174042200,1457.71
2002-10-18,1477.43,1484.54,1454.14,1461.39,190210200,1461.39
2002-10-17,1433.70,1466.87,1432.97,1466.02,237762200,1466.02
2002-10-16,1445.17,1445.85,1428.15,1439.05,148912600,1439.05
2002-10-15,1387.76,1430.75,1387.57,1429.68,130368000,1429.68
2002-10-14,1382.70,1386.86,1376.10,1378.44,68231200,1378.44
2002-10-11,1373.38,1378.98,1369.02,1373.69,100938200,1373.69
2002-10-10,1363.04,1369.82,1351.86,1357.35,139081800,1357.35
2002-10-09,1400.44,1400.50,1371.14,1376.58,90730800,1376.58
2002-10-08,1376.39,1411.08,1370.48,1396.51,148010400,1396.51
2002-10-07,1359.03,1382.23,1358.69,1378.61,77523600,1378.61
2002-10-04,1356.81,1373.90,1356.55,1367.57,83588200,1367.57
2002-10-03,1355.52,1355.54,1347.08,1351.98,63366200,1351.98
2002-10-02,1378.34,1379.35,1353.78,1355.43,100374000,1355.43
2002-10-01,1345.69,1364.77,1345.50,1355.47,59928200,1355.47
2002-09-30,1354.98,1362.48,1348.11,1352.30,73122200,1352.30
2002-09-27,1365.65,1385.78,1364.94,1373.89,90123400,1373.89
2002-09-26,1364.46,1365.57,1348.67,1356.29,99502800,1356.29
2002-09-25,1364.12,1364.12,1326.36,1342.62,108730000,1342.62
2002-09-24,1404.49,1404.49,1377.07,1377.07,89184000,1377.07
2002-09-23,1419.70,1419.74,1405.81,1415.82,70229200,1415.82
2002-09-20,1419.61,1426.72,1411.88,1421.03,96323600,1421.03
2002-09-19,1435.99,1441.48,1421.66,1439.11,85372200,1439.11
2002-09-18,1435.99,1436.01,1427.69,1431.25,86012600,1431.25
2002-09-17,1450.71,1470.48,1440.78,1458.47,135645200,1458.47
2002-09-16,1433.14,1442.61,1427.23,1442.61,61798600,1442.61
2002-09-13,1425.83,1432.38,1413.51,1432.00,89580200,1432.00
2002-09-12,1447.64,1447.64,1429.95,1433.43,87126800,1433.43
2002-09-11,1451.76,1454.11,1445.27,1448.48,58099800,1448.48
2002-09-10,1428.41,1454.26,1426.60,1447.88,74512200,1447.88
2002-09-09,1446.96,1448.59,1422.00,1423.89,59919600,1423.89
2002-09-06,1444.73,1456.88,1442.58,1442.58,89003600,1442.58
2002-09-05,1455.42,1459.75,1444.98,1447.77,118408200,1447.77
2002-09-04,1433.46,1457.48,1429.49,1457.48,94099600,1457.48
2002-09-03,1460.18,1477.99,1449.75,1454.92,108549600,1454.92
2002-09-02,1485.16,1485.96,1460.68,1460.68,125664400,1460.68
2002-08-30,1489.64,1498.90,1488.50,1488.50,109310000,1488.50
2002-08-29,1495.11,1501.81,1487.04,1490.35,89012600,1490.35
2002-08-28,1504.46,1508.90,1496.89,1504.90,84496400,1504.90
2002-08-27,1518.63,1522.27,1496.28,1509.48,110371600,1509.48
2002-08-26,1526.84,1529.35,1510.98,1516.04,97336200,1516.04
2002-08-23,1550.80,1550.80,1529.30,1531.90,121322400,1531.90
2002-08-22,1544.33,1554.54,1540.87,1542.02,116125800,1542.02
2002-08-21,1534.32,1536.53,1526.95,1533.47,86160400,1533.47
2002-08-20,1539.75,1546.44,1533.39,1533.61,123545200,1533.61
2002-08-19,1525.19,1539.80,1525.19,1533.41,72623600,1533.41
2002-08-16,1535.86,1545.20,1522.60,1522.60,78443400,1522.60
2002-08-15,1540.78,1545.16,1531.37,1531.84,114245600,1531.84
2002-08-14,1512.38,1535.45,1510.95,1527.03,88310400,1527.03
2002-08-13,1486.41,1530.76,1486.41,1529.03,103906400,1529.03
2002-08-12,1492.35,1507.69,1482.08,1486.44,114896000,1486.44
2002-08-08,1505.41,1511.43,1483.97,1486.81,74569400,1486.81
2002-08-07,1486.20,1495.92,1482.49,1494.69,85674400,1494.69
2002-08-06,1458.93,1466.94,1441.92,1466.75,98694800,1466.75
2002-08-05,1501.47,1501.75,1481.49,1482.34,61766400,1482.34
2002-08-02,1505.52,1515.55,1500.09,1509.89,66269600,1509.89
2002-08-01,1510.40,1517.01,1502.57,1517.01,67938000,1517.01
2002-07-31,1515.70,1522.12,1507.14,1508.36,62690200,1508.36
2002-07-30,1534.95,1539.25,1511.43,1516.72,97569800,1516.72
2002-07-29,1508.79,1511.15,1500.35,1506.36,67732800,1506.36
2002-07-26,1507.98,1511.20,1490.60,1494.68,125288200,1494.68
2002-07-25,1556.41,1562.30,1514.09,1516.41,109456200,1516.41
2002-07-24,1553.96,1555.53,1520.50,1522.80,131365200,1522.80
2002-07-23,1528.04,1571.48,1527.90,1565.72,113233200,1565.72
2002-07-22,1536.23,1541.60,1524.19,1536.14,85851000,1536.14
2002-07-19,1565.73,1570.33,1551.70,1560.18,74531600,1560.18
2002-07-18,1587.93,1592.35,1571.38,1579.90,72532600,1579.90
2002-07-17,1587.48,1596.66,1571.05,1583.30,87624600,1583.30
2002-07-16,1612.63,1614.15,1581.75,1585.85,85250000,1585.85
2002-07-15,1610.95,1616.20,1602.69,1609.76,68743400,1609.76
2002-07-12,1614.42,1622.13,1610.91,1614.09,98802200,1614.09
2002-07-11,1616.93,1622.22,1600.84,1608.19,78864400,1608.19
2002-07-10,1637.20,1653.07,1631.94,1631.94,102876600,1631.94
2002-07-09,1620.69,1652.06,1618.93,1645.26,90399600,1645.26
2002-07-08,1661.67,1665.15,1613.68,1621.28,98379200,1621.28
2002-07-05,1599.28,1642.87,1599.28,1641.53,162260600,1641.53
2002-07-04,1583.88,1598.75,1579.56,1598.75,81921800,1598.75
2002-07-03,1539.00,1587.20,1538.74,1583.14,125845800,1583.14
2002-07-02,1536.02,1552.73,1533.66,1552.73,75958000,1552.73
2002-07-01,1551.46,1552.26,1538.98,1550.36,45644600,1550.36
2002-06-28,1544.55,1569.17,1544.55,1552.98,139020000,1552.98
2002-06-27,1544.49,1551.93,1524.20,1531.59,88838800,1531.59
2002-06-26,1548.60,1548.60,1520.10,1532.15,169713600,1532.15
2002-06-25,1548.90,1568.61,1538.28,1565.80,140731200,1565.80
2002-06-24,1530.50,1546.32,1529.84,1537.88,58695000,1537.88
2002-06-21,1560.71,1564.30,1540.77,1546.25,74461200,1546.25
2002-06-20,1554.10,1578.20,1554.03,1574.30,66239000,1574.30
2002-06-19,1600.18,1600.31,1564.55,1564.55,87681600,1564.55
2002-06-18,1610.77,1619.86,1600.13,1600.60,47655000,1600.60
2002-06-17,1615.19,1616.09,1597.79,1597.79,52106800,1597.79
2002-06-14,1630.76,1630.76,1607.77,1607.77,85932200,1607.77
2002-06-13,1654.06,1658.26,1633.73,1639.94,69390200,1639.94
2002-06-12,1651.77,1656.66,1643.28,1645.99,39129800,1645.99
2002-06-11,1666.10,1670.99,1653.86,1656.56,50789000,1656.56
2002-06-10,1654.25,1664.71,1654.25,1664.44,42812400,1664.44
2002-06-07,1640.80,1652.45,1637.70,1652.45,84371600,1652.45
2002-06-06,1660.02,1660.27,1649.65,1652.46,56746200,1652.46
2002-06-05,1662.47,1663.51,1651.04,1654.00,56126800,1654.00
2002-06-04,1654.07,1661.50,1647.76,1647.76,75148000,1647.76
2002-06-03,1676.71,1681.21,1670.24,1673.19,82345600,1673.19
2002-05-31,1684.75,1686.33,1670.21,1671.84,135018000,1671.84
2002-05-30,1676.74,1690.94,1668.11,1683.43,105424000,1683.43
2002-05-29,1698.65,1698.65,1679.66,1684.42,67211000,1684.42
2002-05-28,1716.49,1716.49,1697.76,1708.63,58436600,1708.63
2002-05-24,1722.32,1724.90,1713.16,1722.31,55029000,1722.31
2002-05-23,1738.57,1742.36,1717.78,1717.78,56813600,1717.78
2002-05-22,1726.28,1737.50,1724.94,1737.50,92935400,1737.50
2002-05-21,1724.27,1736.23,1722.57,1730.48,109138600,1730.48
2002-05-20,1735.72,1737.84,1724.57,1724.57,50696000,1724.57
2002-05-17,1735.31,1737.77,1727.01,1733.61,71077800,1733.61
2002-05-16,1740.34,1743.22,1726.64,1733.48,89216600,1733.48
2002-05-15,1749.74,1752.58,1742.46,1747.32,78901800,1747.32
2002-05-14,1738.96,1746.49,1735.81,1742.25,51979200,1742.25
2002-05-13,1731.74,1742.73,1730.54,1732.79,39486600,1732.79
2002-05-10,1734.02,1741.67,1732.18,1735.95,61076000,1735.95
2002-05-09,1754.30,1754.30,1733.61,1733.61,109702000,1733.61
2002-05-08,1733.49,1735.99,1724.53,1735.43,82136600,1735.43
2002-05-07,1709.39,1730.73,1707.32,1720.98,63271200,1720.98
2002-05-06,1738.06,1738.23,1718.44,1722.05,53389600,1722.05
2002-05-03,1737.75,1761.70,1735.95,1741.01,133061200,1741.01
2002-05-02,1737.54,1752.53,1735.97,1740.35,94885000,1740.35
2002-04-30,1714.84,1734.44,1712.91,1725.37,96190200,1725.37
2002-04-29,1715.81,1715.81,1704.08,1712.26,54736400,1712.26
2002-04-26,1732.93,1735.65,1716.67,1728.32,79839000,1728.32
2002-04-25,1731.88,1740.51,1724.86,1727.42,117990000,1727.42
2002-04-24,1737.92,1744.63,1728.72,1734.72,66527000,1734.72
2002-04-23,1719.20,1743.39,1714.42,1740.45,65004400,1740.45
2002-04-22,1738.08,1743.19,1724.78,1727.66,75588800,1727.66
2002-04-19,1738.63,1740.87,1725.93,1730.82,86655400,1730.82
2002-04-18,1769.35,1776.74,1741.18,1747.54,74660600,1747.54
2002-04-17,1787.61,1792.58,1767.01,1771.34,115599200,1771.34
2002-04-16,1754.41,1773.92,1753.78,1770.05,91191400,1770.05
2002-04-15,1757.06,1757.61,1744.30,1757.54,53495600,1757.54
2002-04-12,1723.45,1761.60,1723.25,1751.75,88086800,1751.75
2002-04-11,1729.23,1756.76,1728.37,1740.58,99324000,1740.58
2002-04-10,1741.56,1741.56,1703.01,1715.35,111355200,1715.35
2002-04-09,1762.57,1768.86,1750.01,1754.26,77530000,1754.26
2002-04-08,1782.91,1784.52,1761.24,1765.66,68152800,1765.66
2002-04-05,1780.19,1786.72,1778.17,1779.97,71710000,1779.97
2002-04-04,1773.76,1778.18,1764.20,1778.18,108279000,1778.18
2002-04-03,1789.26,1789.31,1770.21,1782.99,103393800,1782.99
2002-04-02,1790.50,1800.29,1788.04,1797.28,62694200,1797.28
2002-04-01,1806.62,1808.16,1786.31,1789.09,60312800,1789.09
2002-03-28,1800.49,1817.56,1800.48,1803.22,124853400,1803.22
2002-03-27,1803.12,1811.69,1793.60,1795.16,115148400,1795.16
2002-03-26,1792.17,1801.68,1789.04,1794.11,91482600,1794.11
2002-03-25,1801.99,1804.45,1791.78,1798.59,68263200,1798.59
2002-03-22,1798.23,1809.67,1798.23,1800.20,74281400,1800.20
2002-03-21,1789.91,1803.70,1782.47,1793.87,130458400,1793.87
2002-03-20,1809.88,1809.92,1791.44,1801.88,103023400,1801.88
2002-03-19,1779.90,1810.93,1779.90,1808.41,99655800,1808.41
2002-03-18,1787.34,1793.59,1782.89,1786.30,77775000,1786.30
