Date;DFM.Close
2009-06-08;1,85
2009-06-09;1,89
2009-06-10;1,95
2009-06-11;1,93
2009-06-14;2,07
2009-06-15;1,96
2009-06-16;1,97
2009-06-17;1,88
2009-06-18;1,81
2009-06-21;1,72
2009-06-22;1,77
2009-06-23;1,66
2009-06-24;1,74
2009-06-25;1,68
2009-06-28;1,52
2009-06-29;1,57
2009-06-30;1,63
2009-07-01;1,7
2009-07-02;1,71
2009-07-05;1,62
2009-07-06;1,55
2009-07-07;1,63
2009-07-08;1,51
2009-07-09;1,43
2009-07-12;1,44
2009-07-13;1,36
2009-07-14;1,46
2009-07-15;1,48
2009-07-16;1,57
2009-07-20;1,62
2009-07-21;1,55
2009-07-22;1,56
2009-07-23;1,57
2009-07-26;1,76
2009-07-27;1,72
2009-07-28;1,73
2009-07-29;1,68
2009-07-30;1,72
2009-08-02;1,73
2009-08-03;1,8
2009-08-04;1,79
2009-08-05;1,82
2009-08-06;1,81
2009-08-09;1,81
2009-08-10;1,81
2009-08-11;1,84
2009-08-12;1,72
2009-08-13;1,8
2009-08-16;1,75
2009-08-17;1,58
2009-08-18;1,69
2009-08-19;1,68
2009-08-20;1,75
2009-08-23;1,78
2009-08-24;1,77
2009-08-25;1,78
2009-08-26;1,81
2009-08-27;1,8
2009-08-30;1,84
2009-08-31;1,83
2009-09-01;1,8
2009-09-02;1,79
2009-09-03;1,84
2009-09-06;1,87
2009-09-07;1,94
2009-09-08;1,96
2009-09-09;1,94
2009-09-10;1,97
2009-09-13;1,95
2009-09-14;1,91
2009-09-15;1,94
2009-09-16;2
2009-09-17;2,21
2009-09-23;2,45
2009-09-24;2,4
2009-09-27;2,4
2009-09-28;2,31
2009-09-29;2,35
2009-09-30;2,38
2009-10-01;2,38
2009-10-04;2,38
2009-10-05;2,48
2009-10-06;2,53
2009-10-07;2,47
2009-10-08;2,52
2009-10-11;2,56
2009-10-12;2,65
2009-10-13;2,56
2009-10-14;2,68
2009-10-15;2,67
2009-10-18;2,56
2009-10-19;2,63
2009-10-20;2,57
2009-10-21;2,5
2009-10-22;2,5
2009-10-25;2,49
2009-10-26;2,65
2009-10-27;2,62
2009-10-28;2,56
2009-10-29;2,34
2009-11-01;2,14
2009-11-02;2,33
2009-11-03;2,11
2009-11-04;2,23
2009-11-05;2,22
2009-11-08;2,22
2009-11-09;2,28
2009-11-10;2,33
2009-11-11;2,38
2009-11-12;2,32
2009-11-15;2,29
2009-11-16;2,34
2009-11-17;2,3
2009-11-18;2,27
2009-11-19;2,2
2009-11-22;2,12
2009-11-23;2,21
2009-11-24;2,13
2009-11-25;2,17
2009-11-30;1,96
2009-12-01;1,77
2009-12-06;1,86
2009-12-07;1,68
2009-12-08;1,52
2009-12-09;1,37
2009-12-10;1,57
2009-12-13;1,69
2009-12-14;1,94
2009-12-15;1,88
2009-12-16;1,95
2009-12-17;1,91
2009-12-20;1,82
2009-12-21;1,86
2009-12-22;1,88
2009-12-23;1,79
2009-12-24;1,83
2009-12-27;1,86
2009-12-28;1,95
2009-12-29;1,85
2009-12-30;1,86
2009-12-31;1,88
2010-01-03;1,97
2010-01-04;1,89
2010-01-05;1,88
2010-01-06;1,88
2010-01-07;1,89
2010-01-10;1,87
2010-01-11;1,85
2010-01-12;1,81
2010-01-13;1,69
2010-01-14;1,69
2010-01-17;1,61
2010-01-18;1,65
2010-01-19;1,61
2010-01-20;1,63
2010-01-21;1,59
2010-01-24;1,44
2010-01-25;1,55
2010-01-26;1,45
2010-01-27;1,49
2010-01-28;1,58
2010-01-31;1,55
2010-02-01;1,59
2010-02-02;1,64
2010-02-03;1,65
2010-02-04;1,64
2010-02-07;1,6
2010-02-08;1,62
2010-02-09;1,62
2010-02-10;1,57
2010-02-11;1,59
2010-02-14;1,5
2010-02-15;1,49
2010-02-16;1,53
